A	B	dist
D.equ-2	DsimS9-6	0.022470025949301753
D.equ-2	DsimS9-7	0.02247002594930175
D.equ-2	DsimS9-8	0.022470025949301756
D.equ-2	DsimS9-9	0.02247002594930175
D.equ-2	Dwil17-2	0.0059175428190510835
D.equ-2	Dwil17-3	0.035488272485454636
D.equ-2	Dwil17-4	0.005694742829582744
D.equ-3	D.car-2	0.04682878652592269
D.equ-3	D.car-3	0.04682878652592269
D.equ-3	D.car-4	0.04682878652592269
D.equ-3	D.car-5	0.04682878652592269
D.equ-3	D.car-6	0.04682878652592269
D.equ-3	D.car-7	0.04682878652592269
D.equ-3	D.equ-1	0.028214073396171248
D.equ-3	D.equ-2	0.028214073396171248
D.equ-3	D.equ-3	0
D.equ-3	D.equ-4	0.028214073396171248
D.equ-3	D.ins-1	0.03548827248545464
D.equ-3	D.ins-2	0.03548827248545464
D.equ-3	D.ins-3	0.03548827248545464
D.equ-3	D.ins-4	0.035488272485454636
D.equ-3	D.sec-1	0.028214073396171248
D.equ-3	D.sec-2	0.028214073396171248
D.equ-3	D.sec-3	0.028214073396171248
D.equ-3	D.sec-4	0.028214073396171248
D.equ-3	D.sec-5	0.028214073396171248
D.equ-3	D.sec-6	0.028214073396171248
D.equ-3	D.tro-1	0.028214073396171248
D.equ-3	D.tro-2	0.028214073396171248
D.equ-3	D.tro-3	0.028214073396171248
D.equ-3	D.tro-4	0.028214073396171248
D.equ-3	D.tro-5	0.028214073396171248
D.equ-3	DmelR7-1	0.028214073396171248
D.equ-3	DmelR7-10	0.028214073396171248
D.equ-3	DmelR7-11	0.028214073396171248
D.equ-3	DmelR7-12	0.028214073396171248
D.equ-3	DmelR7-13	0.028214073396171248
D.equ-3	DmelR7-14	0.028214073396171248
D.equ-3	DmelR7-15	0.028214073396171248
D.equ-3	DmelR7-16	0.028214073396171248
D.equ-3	DmelR7-17	0.028214073396171248
D.equ-3	DmelR7-18	0.028214073396171248
D.equ-3	DmelR7-19	0.028214073396171248
D.equ-3	DmelR7-2	0.028214073396171248
D.equ-3	DmelR7-20	0.028214073396171248
D.equ-3	DmelR7-21	0.028214073396171248
D.equ-3	DmelR7-3	0.028214073396171248
D.equ-3	DmelR7-4	0.028214073396171248
D.equ-3	DmelR7-5	0.028214073396171248
D.equ-3	DmelR7-6	0.028214073396171248
D.equ-3	DmelR7-7	0.028214073396171248
